Date,Day,Time,Order ID,Table Number,Item Name,Category,Quantity,Unit Price,Total Sale,Payment Method,Server Name,Customer Type,Dine Type
2024-06-12,Wednesday,11:54 AM,ORD1000,8,Grilled Chicken,Main,3,12.99,38.97,Cash,Bob,New,Delivery
2024-05-19,Sunday,11:29 AM,ORD1001,1,Chocolate Cake,Dessert,1,5.99,5.99,Cash,Bob,New,Delivery
2024-06-03,Monday,10:27 AM,ORD1002,14,French Fries,Side,5,4.5,22.5,Cash,Diana,Returning,Dine-in
2024-02-10,Saturday,09:54 PM,ORD1003,9,Chocolate Cake,Dessert,3,5.99,17.97,Cash,Bob,Returning,Dine-in
2024-01-24,Wednesday,04:29 PM,ORD1004,12,Cheeseburger,Main,3,10.49,31.47,Online,Carlos,New,Delivery
2024-04-27,Saturday,07:09 PM,ORD1005,3,Cheeseburger,Main,4,10.49,41.96,Online,Carlos,Returning,Delivery
2024-02-19,Monday,11:11 AM,ORD1006,10,Grilled Chicken,Main,2,12.99,25.98,Cash,Bob,New,Takeaway
2024-03-12,Tuesday,05:44 PM,ORD1007,12,Iced Tea,Drink,2,2.79,5.58,Card,Bob,Returning,Delivery
2024-06-23,Sunday,09:03 PM,ORD1008,6,Cheeseburger,Main,5,10.49,52.45,Online,Bob,New,Takeaway
2024-04-07,Sunday,02:36 PM,ORD1009,2,French Fries,Side,3,4.5,13.5,Cash,Alice,Returning,Takeaway
2024-03-09,Saturday,11:07 AM,ORD1010,11,French Fries,Side,5,4.5,22.5,Cash,Diana,Returning,Delivery
2024-04-27,Saturday,12:26 PM,ORD1011,8,Lemonade,Drink,2,2.99,5.98,Online,Carlos,Returning,Delivery
2024-04-12,Friday,04:10 PM,ORD1012,17,French Fries,Side,2,4.5,9.0,Card,Alice,New,Dine-in
2024-02-09,Friday,08:42 PM,ORD1013,20,Caesar Salad,Side,4,6.99,27.96,Cash,Diana,Returning,Delivery
2024-04-29,Monday,07:01 PM,ORD1014,1,Lemonade,Drink,5,2.99,14.95,Online,Alice,Returning,Delivery
2024-03-28,Thursday,11:54 AM,ORD1015,6,Lemonade,Drink,4,2.99,11.96,Card,Alice,Returning,Delivery
2024-02-15,Thursday,06:39 PM,ORD1016,17,Cheeseburger,Main,3,10.49,31.47,Online,Bob,New,Takeaway
2024-02-11,Sunday,07:12 PM,ORD1017,11,Grilled Chicken,Main,5,12.99,64.95,Card,Alice,New,Takeaway
2024-03-19,Tuesday,02:05 PM,ORD1018,19,Grilled Chicken,Main,2,12.99,25.98,Cash,Alice,Returning,Dine-in
2024-05-16,Thursday,12:08 PM,ORD1019,18,Caesar Salad,Side,4,6.99,27.96,Cash,Carlos,Returning,Dine-in
2024-05-18,Saturday,09:46 PM,ORD1020,13,French Fries,Side,3,4.5,13.5,Online,Carlos,Returning,Delivery
2024-04-25,Thursday,12:03 PM,ORD1021,3,French Fries,Side,2,4.5,9.0,Card,Alice,New,Delivery
2024-02-26,Monday,10:07 AM,ORD1022,8,Cheeseburger,Main,1,10.49,10.49,Cash,Alice,Returning,Dine-in
2024-05-11,Saturday,02:03 PM,ORD1023,7,Lemonade,Drink,4,2.99,11.96,Online,Bob,Returning,Dine-in
